,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
15,45 Chine Dr | House For Sale,E5110863,for sale,Residential House,,20210208,,,"1,799,000",2,2,0,,E,,,,"Attention All Builders &amp; Investors! Land Value Only! Massive Building Lot For Sale In Toronto's Hallmark Bluffs Community! Premium 110 X 177.71 Ft Corner Lot On A Quiet Cul De Sac! Just Moments Away From Lake Ontario And Bike Trails With Breathtaking Lake Views! Build The Perfect Dream Home With A Private Backyard Oasis In The Scarborough Bluffs! Drawings &amp; Permits In Place!""",https://www.realmaster.com/en/toronto-on/45-chine-dr/cliffcrest-TRBE5110863?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"45 Chine Dr, Toronto, Ontario, M1M2K8"
16,23 Orchid Crt | House For Sale,C5127250,for sale,Residential House,,20210225,,,"2,880,000",4,4,0,,S,,,,"On The Court! Extensively Renovated Res W/Modern Flair On One Of Windfields Most Sought After. Southern Exposure On Arch-L Des.Park Lot. Quiet &amp; Child Friendly! Complete Privacy! Large Principal Rms! Cascading Nat Light. Mn Flr Mud Rm &amp; Lib. Contempt Kit. Mrble Flrs. Upper Lev Laundry! Master W/6Pc Ht'd Ens, W/I Closet &amp; Juliette Balc! Beautiful Award Winning Gardens W/Stone Terr. &amp; Lush Gardens. Steps To Renowned School, Ttc And Shops At Leslie/ York Mills. All Blinds And Elfs. Prof Landscape W/ Irrigation By Jennifer Hayman Designs. Sec Sys. Newer Rf, Windows, Gb+E, Cac. Cvac. Bi Closets, Desks And Dressers.""",https://www.realmaster.com/en/toronto-on/23-orchid-crt/st-andrew-windfields-TRBC5127250?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"23 Orchid Crt, Toronto, Ontario, M2L2X8"
17,424 Davenport Rd | House For Sale,C5127228,for sale,Residential House,,20210225,,,"1,575,000",3,2,0,,N,,,,"Modern Living In The Foothills Of Casa Loma Featuring Designer Touches And The Historic Charm Of South Hill, Elegant Open Living And Dining Area With W/O To Extra Deep Private Cottage Garden Oasis With Large Deck, Tiered Landscaping And Multiple Seating Areas, Custom Kitchen, New Hardwood Throughout, Finished Basement With Upgrades, B/I Garage, Total 3 Car Private Parking, Steps To Dupont Subway, Parks, Trails, Short Walk To Bloor/Yorkville And Top Schools. $$ Spent On Upgrades, Gas Cooktop, Fridge, D/W,Wall Oven, Microwave,Washer,Dryer, B/I Closets, Drapery, B/I Speakers In Bsmt, Radiant Flr Heating In Bsmt, Walk To Top Schools: Ucc,Bss,Mabin,De La Salle,Waldorf,Brown Jr Public School Dist.""",https://www.realmaster.com/en/toronto-on/424-davenport-rd/casa-loma-TRBC5127228?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"424 Davenport Rd, Toronto, Ontario, M4V1B5"
18,534 Rushton Rd | House For Sale,C5124963,for sale,Residential House,,20210223,,,"2,379,000",4,5,1,2000-2500,W,,,,"Modern, One-Of-A-Kind Home Is For The Buyer Who Appreciates Great Design Weaved Together By Timeless Materials. An  Architectural Delight W/Luxurious Finishes &amp; Quality Craftsmanship. Tall Windows Stream Light Thruout, Dramatic Floating Staircase, Glass Railings, Natural, White Oak Floors, Custom Kit W/Double Pantry, Recessed Lighting, Custom Millwork, Awesome Walk-In Closets, Third Flr Master Retreat, 2 Laundry Options, Lower Level Media Rm. Hurry! Inc Fridge, Gas Cooktop, Wall Oven, Micro, D/W. W/D, Wine Fridge, Elf's, Bath Mirrors, Clst Orgnzrs, Alarm Sys (Mon Xtra), Security Cameras, Smart Therm, Google Display, Nest Doorbell W/Camera, Bbq Gas Line, Speakers, Central Vac W/Attach""",https://www.realmaster.com/en/toronto-on/534-rushton-rd/humewood-cedarvale-TRBC5124963?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"534 Rushton Rd, Toronto, Ontario, M6C2Y5"
19,52 Alcorn Ave | House For Sale,C5124625,for sale,Residential House,,20210223,,,"2,495,000",3,3,0,,N,,,,"Beautiful 3 Bedroom Home In Highly Sought After Summerhill Neighbourhood. Stunning Renovation. The Open Concept Main Floor Boasts Elegant Principal Rooms Perfect For Family Living &amp; Entertaining. Hardwood Flooring Throughout. Fabulous Custom Design Bulthaup Kitchen With Top Of The Line Appliances. Spacious Master With Walk-In Closet &amp; 4 Pc Ensuite Plus 2 Generous Sized Bedrooms On 3rd. The 2nd Floor Den Would Be Ideal As A Home Office. The Lower Level Comprises A Beautiful Fam. Rm With Walkout To The Garden, A Multi-Purpose Laundry Rm Plus Convenient Access To Garage. Cottingham School District. Steps To Yonge St Shops/Restaurants &amp; Subway. See Sched B For Incls &amp; Excls.""",https://www.realmaster.com/en/toronto-on/52-alcorn-ave/yonge-st-clair-TRBC5124625?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"52 Alcorn Ave, Toronto, Ontario, M4V1E4"
20,60 Alexandra Wood | House For Sale,C5116698,for sale,Residential House,,20210216,,,"2,499,000",3,3,2,,W,,,,"Welcome To 60 Alexandra Wood, An Address Of Distinction. Attn Builders/Renovators: Move Right In Or Build Your Dream Home On This 50' Frontage Lot. Located In A Beautiful Family Neighbourhood, This 3Br Home Features Spacious Sun-Filled Principal Rooms, Sunken Living Room, Walk Out To Private Backyard And More. Close To Amenities: Bathurst St, Shops, Restaurants, Renowned Schools, Synagogues, Transit. All Elf's, S/S Refrigerator/Gas Range/Hood Fan/Dishwasher/Microwave, Clothes Washer &amp; Dryer, Bsmt Refrigerator, All Window Coverings/Blinds, Navien Tankless Water Heater""",https://www.realmaster.com/en/toronto-on/60-alexandra-wood/bedford-park-nortown-TRBC5116698?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"60 Alexandra Wood, Toronto, Ontario, M5N2S5"
21,12 Baytree Cres | House For Sale,C5001146,for sale,Residential House,,20201126,,,"12,380,000",6,12,1,5000+,W,,,,"Stunning 15,000 Sqft Property With A Very Desirable Address In The Sought-After Enclave Of Bayview And Yorkmills. Truly A Crown Jewel With Original Memphis Inspired Design For A Modern Lifestyle. With Plenty Of Bold Pops Of Color Throughout, Magnificent Views Of St. Andrews Park, This 6 Bedroom, 12 Bathroom Estate Reveals A Level Of Attention And Extraordinary Care. A True Retreat, Great For Entertaining Offering World Class Recreational Options. A Must See! Spa/Fitness Room, Indoor Pool With Retractable Roof, Arcade/Games Room, Walk Out Lower Level With A Pond, Waterfalls, Home Theatre, 13 Car Garage And So Much More""",https://www.realmaster.com/en/toronto-on/12-baytree-cres/st-andrew-windfields-TRBC5001146?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"12 Baytree Cres, Toronto, Ontario, M2L2G3"
22,17 Zorra St 1101 | Apartment For Sale,W5127193,for sale,Residential Apartment,11,20210224,,,"479,900",1,1,0,500-599,Sw,Owned35,Owned,377.86,"Stunning Move-In Ready Bright And Beautiful One Bedroom Condo, Minutes Walk To Cineplex, Shopping Mall, Great Amenities Include: Fitness Center, Outdoor Balcony And Much More. Stainless Steel Appliances, Fridge, Stove, Dishwasher, Stacked Washer/Dryer, All Window Coverings, All Electrical Light Fixtures.""",https://www.realmaster.com/en/toronto-on/17-zorra-st/1101-islington-city-centre-west-TRBW5127193?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"1101 17 Zorra St, Toronto, Ontario, M8Z 0C8"
23,35 Ormskirk Ave 816 | Apartment For Sale,W5127167,for sale,Residential Apartment,8,20210225,,,"769,000",3,1,0,1000-1199,E,Exclusive16,Ensuite,669.21,"Absolutely Stunning ,Fully Renovated ,Unique 2-Storey,3Br Unit In Desirable High Park - Swansea Neighborhood. Property Boast; Beautiful,Modern Renovated Kitchen,Stainless Steel Appliances And Quartz Counter Top. Open Concept Living,Walk Out To Large Private Balcony, Spacious Master Br With Walk In Closet,New Hardwood Floor,Renovated Bathroom,Smooth Ceiling, Ensuite Reno Laundry W/Lots Of Room For Storage,Low Maintenance Fees Includes All Utilities And Cable. Well Maintained Building&amp;Great Amenities;Indoor Pool, Sauna,Tennis Court, Ex. Rm,Party Rm.Walk To High Park,Lake,Bloor West Village,Swansea Public School,Easy Access To Highway,Steps Away From Tts. Ss. Fridge,Stove,Dishwasher,Washer, Dryer.""",https://www.realmaster.com/en/toronto-on/35-ormskirk-ave/816-high-park-swansea-TRBW5127167?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"816 35 Ormskirk Ave, Toronto, Ontario, M6S1A8"
24,2737 Keele St 424 | Apartment For Sale,W5124955,for sale,Residential Apartment,4,20210223,,,"372,000",2,1,0,800-899,E,Owned57,Owned,873.04,"Spacious, Open Concept Designed 2 Bed, 1 Bath @ Keele/401. Beautifully Finished Hardwood Flooring Throughout. Spectacular Kitchen W/ Backsplash, Stunning Granite Counter, Ample Cabinetry And Breakfast Bar. Natural Light Throughout Living Spaces From Numerous Windows. Bedrooms W/ Large Closets, Hardwood Flooring, And Windows. Modern Bathroom W/ Soaker Tub And Beautiful Tile Fridge, Stove, Dishwasher, Microwave. Washer.""",https://www.realmaster.com/en/toronto-on/2737-keele-st/424-downsview-roding-cfb-TRBW5124955?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"424 2737 Keele St, Toronto, Ontario, M3M2E9"
25,1600 Keele St 920 | Apartment For Sale,W5123767,for sale,Residential Apartment,10,20210222,,,"375,000",0,1,1,0-499,S,Owned,Owned,371,"Elegant &amp; Completely Upgraded Functional Studio In High Demand Area With Parking &amp; Locker. Very Low Maintenance &amp; Taxes! Hardwood Floors Throughout. Kitchen Features Granite Counters &amp; Custom Cabinets. Renovated Bathroom With Built-In Linen Closet. Custom Made Murphy Bed. Open Concept Living Area With Walk-Out To Big Balcony With Unobstructed City View. Freshly Painted. Close Proximity To Future Eglinton Lrt &amp; Highways. Steps To Public Transit &amp; All Amenities All Stainless Steel Appliances(Fridge, Stove, Dishwasher, Microwave), Stacked Washer/Dryer, All Light Fixtures, All Window Covers, Custom Made Murphy Bed, Dresser In Den, Living Area Wall Unit &amp; Tv Stand. *Fantastic Building Amenities*""",https://www.realmaster.com/en/toronto-on/1600-keele-st/920-keelesdale-eglinton-west-TRBW5123767?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"920 1600 Keele St, Toronto, Ontario, M6N5J1"
26,30 Meadowglen Pl 2903 | Apartment For Sale,E5104421,for sale,Residential Apartment,28,20210204,,,"525,000",1,2,0,500-599,Sw,Owned219,Owned,362.1,"Proudly Presenting This Extraordinary Penthouse With City Views! Welcome Home To This Magnificently Modern Designed Condo. Featuring Extended Ceilings, Plenty Of Natural Light, Sleek Kitchen With Granite Counters, Laminate Flooring, 2 Baths, Ensuite Laundry And A 61 Sq Ft Balcony. Building Offers Amenities, Close To Public Transit &amp; 401, Shopping, Centennial College &amp; U Of T Scarborough Campus. Neutral Decor Throughout. All You Need To Do Is Move In &amp; Enjoy! Existing Fridge, Stove, Built In Dishwasher, Built In Microwave, Stackable Clothes Washer And Dryer, All Electrical Light Fixtures. One Parking Spot And A Locker.""",https://www.realmaster.com/en/toronto-on/30-meadowglen-pl/2903-woburn-TRBE5104421?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"2903 30 Meadowglen Pl, Toronto, Ontario, M1G 0A6"
27,87 Peter St 1703 | Apartment For Sale,C5127292,for sale,Residential Apartment,17,20210225,,,"599,999",1,1,0,500-599,W,None,None,294.15,"Luxury Noir Condo By Menkes Located In The Heart Of Entertainment District. Close To Financial District. Steps To Transit, Shops, Restaurants, Cn Tower, Rogers Centre. Modern Kitchen With Built-In Appliances. Superb Amenities. All Measurements, Taxes &amp; Maintenance Fee Are Subject To The Buyer's Verification. Fridge, Stove, Microwave, Dishwasher, Washer &amp; Dryer. All Electrical Light Fixtures And All Window Coverings.""",https://www.realmaster.com/en/toronto-on/87-peter-st/1703-waterfront-communities-c1-TRBC5127292?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"1703 87 Peter St, Toronto, Ontario, M5V2G4"
28,1171 Queen St W 1002 | Apartment For Sale,C5127273,for sale,Residential Apartment,11,20210225,,,"749,900",2,1,0,700-799,Nw,None,None,512.94,"Rarely Offered Two Bedroom One Bathroom Corner Unit In The Heart Of Queen West With A Stunning South West View From The Balcony Perfect To Soak Up  Evening Sunsets. Ttc At Your Doorstep, Close To All Amenities, Hands Down The Best Neighbourhood In Toronto. S/S Fridge, Stove, Micro Hood Fan, Dishwasher, Washer &amp; Dryer, Visitors Parking, Rooftop Party Room. Fitness Room. Theatre Room. 24 Hr Concierge.""",https://www.realmaster.com/en/toronto-on/1171-queen-st-w/1002-little-portugal-TRBC5127273?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"1002 1171 Queen St W, Toronto, Ontario, M6J1J4"
