,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,18 Brookfield Rd | House For Sale,C5074734,for sale,Residential House,,20210104,,,"6,280,000",5,7,1,5000+,N,,,,"*Hoggs Hollow Hidden Jewel**Truly Elegant*56X295Ft Ravine Lot W/Lg Table Land*Spectacular/Luxurious 4558Sf(1st/2nd)+Apx 2400Sf Of Bsmt*Completely Redone W/World Class Materials&amp;Designer Deco*Impeccable Craftsmanship W/Superb Flr Plan*Exquisite Millwork/Built-In Shelves/Panelling/C-Speakers*H-Ceiling At All Lvls*Breathtaking Million Dollars Muskoka Cottage Setting Bkyd/Tranquil-Priv/Treed W/Heated Swimming Pool/Stone Deck/Built In Bbq*Allows All Season Parties *Paneled Refrigerator,Gas Stove,Paneled B/I Dishwasher,Range Hood,F/L Washer/Dryer,Gas Fireplaces,Cvac,B/I Outdr Bbq W/Stone Patio,Designer Quality Swimming Pool,Halogen Lits,Hardwood Floor,Panelled Lib-Shelves,Inclusions/Exclusions(Sch D)""",https://www.realmaster.com/en/toronto-on/18-brookfield-rd/bridle-path-sunnybrook-york-mills-TRBC5074734?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"18 Brookfield Rd, Toronto, Ontario, M2P1A9"
1317,20 Bruyeres Mews Th1 | Townhouse For Sale,C5091195,for sale,Residential Townhouse,1,20210122,,,"1,299,800",3,3,1,1200-1399,S,OwnedB60,Owned,738.14,"Rarely Available Luxury Loft Style Condo Townhouse, Two-Storey With Spacious 3 Beds Plus Den With Beautiful Terrace And 3 Full Bathrooms, Convenient Access To Ttc, Mins Walk To King West, Waterfront, Parks, Loblaws, Shoppers &amp; Restaurants Steps Away! Master Br W/Ensuite, Large W/I Closet &amp; Private Balcony. Smooth 15' Ceiling Grd Level &amp; 10' Ceiling 2nd Level. Engineered Hardwood Floor. Storage Space In Living Under Stairs.Two Separate Entrance To The Unit. Fs Deluxe Upgraded S.S. Kitchen Appliances Incl: French Door Bottom Mount Freezer +Ice Maker, Extended Kitchen Upper Cabinets + Soft Closure, S/S Microwave-Hood Vent, S/S Dishwasher Full Size Front Load Washer &amp; Dryer.1Parking One Locker.""",https://www.realmaster.com/en/toronto-on/20-bruyeres-mews/th1-waterfront-communities-c1-TRBC5091195?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"Th1 20 Bruyeres Mews, Toronto, Ontario, M5V0G8"
1318,14 York St 5503 | Apartment For Sale,C5091194,for sale,Residential Apartment,55,20210122,,,"1,149,800",3,2,1,900-999,Se,Owned,Owned,838.09,"Spacious South East Corner Suite On 55th Floor With Million Dollar Lake View, 3 Beds+Study, Almost 1000 Sqf, Features Modern Interiors &amp; Floor-To-Ceiling Windows. Direct Access To Underground Path, Amazing Location Near The Financial District With Iconic Landmarks Including Cn Tower, Rogers Centre, Union Station, St. Lawrence Market, Metro Convention Centre &amp; Bay Street; Scotia Bank Arena Is All Just Across The Street, One Parking, One Locker. All B/I Kitchen Appliances (Fridge, D/W, Oven), W/D, All Elfs, Amenities: Gym, 2 Massage Rms,Yoga &amp; Aerobics Studio, Sauna Steam Rm, Pools, Kids Play Area, 24Hrs Concierge. Visual Tour Is Available. Move-In Condition Furniture Could Left.""",https://www.realmaster.com/en/toronto-on/14-york-st/5503-waterfront-communities-c1-TRBC5091194?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"5503 14 York St, Toronto, Ontario, M5J2Z2"
1319,897 Sheppard Ave W 208 | Apartment For Sale,C5090880,for sale,Residential Apartment,2,20210121,,,"539,900",2,2,0,900-999,Nw,Owned208,Owned,832,"Rarely Offered Large Corner Unit In Renovated Low-Rise Condo. 935 Sqft, Bright Corner Suite, Split Bedroom Layout.  Loads Of Upgrades: White Kitchen W/ Ceramic Floors, Granite Counter And Stylish Backsplash. Ss Appliances, Balcony, Ensuite Laundry. Newer Appliances, Newer Furnace, Mirrored Closet Doors, Custom Barn Style Doors In Foyer W/ Built Ins. Maintenance Covers All Utilities (No Cable/Internet) Open Balcony, Quiet Building. Lots Of Visitors Parking, Sauna, Beautiful Terrace Garden/Patio.Party Room,Parking &amp; Locker Included. Steps From Subway, Ttc, Schools And Places Of Worship. Flexible Closing.""",https://www.realmaster.com/en/toronto-on/897-sheppard-ave-w/208-clanton-park-TRBC5090880?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"208 897 Sheppard Ave W, Toronto, Ontario, M3H2T4"
1320,1171 Queen St 1812 | Apartment For Sale,C5090786,for sale,Residential Apartment,11,20210120,,,"705,000",1,1,1,700-799,Sw,Owned141,Owned,561.79,"Enjoy Boutique Luxury Living Inside The Coveted Bohemian Embassy Lofts. This 1+Den Sub Ph Suite Has Expansive Lake Views &amp; Sunsets, Floor To Ceiling Windows, &amp; One Of The Most Functional Layouts In The Building. This Loft Style Residence Has Brand New Grey Oak Laminate Floors, All New Light Fixtures, 9 Ft Ceilings, &amp; Loads Of Storage. Voted Vogue's Coolest Neighbourhood, Queen West Is Home To World Class Art Hotels, Galleries, Culture, Dining &amp; Nightlife! All Light Fixtures Are New &amp; Inc. Window Coverings Also Inc. One Parking &amp; One Locker Included. New Paint, Floors, Light Fixtures. Amenities Inc. Gym, Media Library, Art Room, Bbq Rooftop Patio. New Bedroom Doors Being Installed Mid Feb!""",https://www.realmaster.com/en/toronto-on/1171-queen-st/1812-trinity-bellwoods-TRBC5090786?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"1812 1171 Queen St, Toronto, Ontario, M6J1J6"
1321,28 Wellesley St E 1202 | Apartment For Sale,C5090578,for sale,Residential Apartment,10,20210121,,,"699,000",2,1,0,600-699,Sw,Owned,None,533,"Stunning Designed Vox Condo, Steps To Subway Stn.Most Sought After South West Coner 2 Bedroom Unit, 1 Parking Included. Bright&amp;Spacious&amp;Practical Layout. 9Ft Smooth Ceiling, Floor To Ceiling Windows, Lots Of Upgrades, Beautiful Unbstructive City Views. Walking Distance To U Of T, Ryerson, Close To Yonge St Shops &amp; Restaurants. Stainless Steel Fridge, Stove Build-In Microwave, Dishwasher,Stacked Washer&amp;Dryer,New Renovation All Electric Existing Window Coverings And Four Spotlights In The Second Bedroom Fixed Light Fixtures.Master Bedroom Decoration Wall.""",https://www.realmaster.com/en/toronto-on/28-wellesley-st-e/1202-church-yonge-corridor-TRBC5090578?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"1202 28 Wellesley St E, Toronto, Ontario, M4Y1G3"
1322,115 Mcmahon Dr 2010 | Apartment For Sale,C5089704,for sale,Residential Apartment,20,20210120,,,"680,000",2,2,0,700-799,Ne,Owned,Owned,576.46,"Located In The Central Heart Of Bayview Village. This Condo Features 2 Bedrooms And 2 Full Washrooms . It Comes With 1 Parking &amp; 1 Locker. There Are Multiple Amenities Throughout The Building Such As Pool, Gym, Balcony 155 Sqf In Addition To 793 Sqft Of Interior Area. Fride, Stove, Washer, Dryer, All Elfs And Blinds""",https://www.realmaster.com/en/toronto-on/115-mcmahon-dr/2010-bayview-village-TRBC5089704?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"2010 115 Mcmahon Dr, Toronto, Ontario, M2K 0E3"
1323,1 Bloor St E 1206 | Apartment For Sale,C5089657,for sale,Residential Apartment,12,20210120,,,"799,000",1,1,1,600-699,S,None,None,468.95,"Live In Toronto's Iconic One Bloor By Great Gulf &amp; Hariri Pontarini Architects. South Exposure One Br+Den Unit, Apprx 610 Sf. + Balcony. High Floor With Beautiful Panoramic South Lake &amp; City View. High End Finishes With Ideal Floor Plan &amp; Fabulous Amenities. Very Well Maintained, Most Desirable Location, Direct Access To 2 Subway Lines, Walk To Uoft Campus, Rom, Upscale Restaurants, Cafes, Designer Boutiques On Bloor St &amp; Yorkville. Holt Renfrew &amp; More Stainless Steel Appliances: Fridge, Cook Top,Hood Fan, Dishwasher. Washer And Dryer.Per Building Request, Visitors Must Complete Health Questionnaire Upon Arrival To The Building. Must Wear A Mask &amp; Gloves. Provide Reco &amp; Busine""",https://www.realmaster.com/en/toronto-on/1-bloor-st-e/1206-church-yonge-corridor-TRBC5089657?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=45,"1206 1 Bloor St E, Toronto, Ontario, M4W1A9"
1324,47 Tineta Cres | House For Sale,E5098699,for sale,Residential House,,20210130,,,"699,000",3,3,1,,S,,,,"Bright Open Concept 3 Bedroom W/ Finished Walkout Basement W/ Separate Entrance, That Can Easily Be Converted Into An Basement Apartment. Rarely 200 Feet Deep Lot With Private Yard &amp; 14.5' X 8' Deck. A Quiet Neighborhood Area Conveniently Located Near Schools, Scarborough Town Centre Mall, Public Transit And Hwy 401. Must See! Appliances:  Fridge,  Stove, Range Hood, Washer &amp; Dryer, Elfs. Garage Door Opener, Hwt (Rental)""",https://www.realmaster.com/en/toronto-on/47-tineta-cres/agincourt-south-malvern-west-TRBE5098699?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"47 Tineta Cres, Toronto, Ontario, M1S2Y5"
1325,283 Adelaide Street West 02 | Condo Apt For Sale,,for sale,Residential Condo Apt,,20210123,,,"1,339,000",3,2,1,1100-1500,SW,,,,"超值楼花转让，著名开发商Pinnacle International在市中心科技区地址283 Adelaide St W建造The PJ condo，40层以上接近顶层西南朝向室内面积1370平尺的3室2卫1书房1厅1储藏间。书房尺寸可做第四卧室，更高租金。户型方正布局合理无浪费空间，包全屋窗帘，预计明年春季入住。周围现房单价均价1200，这套单元仅叫价133.9万，抛去楼层和储藏间，单价仅900多。还等什么？快！快！""",https://www.realmaster.com/en/toronto-on/283-adelaide-street-west/02-RM1-37095?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"02 283 Adelaide Street West, Toronto, Ontario, M5V 2E2"
1326,225 Sumach St | Condo Apt For Sale,,for sale,Residential Condo Apt,16,20210118,,,"729,000",2,2,0,800-899,SE,,,,"💥💥💥抄底捡漏💥💥💥 DuEast精品楼盘，现已交房，Corner户型，两面采光，近市中心大学校区， Dundas Square, 楼下有足球场，游泳馆，各种商铺，餐馆，绝对让你领略东区的全新现代完善社区。 2房，2卫，朝东南， 855平方尺+150平方尺阳台，15层以上，挥泪降价，只要$729,000，捡漏拼手快，速联！可以安排看房， 绝对是购买转楼花的最佳阶段。""",https://www.realmaster.com/en/toronto-on/225-sumach-st/RM1-36931?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"225 Sumach St, Toronto, Ontario, M5A3K3"
1327,5 Northtown Way | Condo Apt For Sale,,for sale,Residential Condo Apt,3,20210116,,,"679,900",2,2,0,800-899,W,,,598,"Great Investment Property!!!! Luxury Tridel Condo with Functional Lay Out: 2 Bedrooms, 2 Bathrooms, *2 PARKING side by side &amp;1 locker*   Address: #305 - 5 Northtown Way, North York. Direct Access To 24 Hrs Metro, Retail Stores, Tons of Restaurants, Café and restaurants on Street Level, Short walking distance To Finch Subway, Viva, Go Bus, Parks, Community Centre.  Great Recreational Facilities: Tennis Courts, Virtual Golf, Ping Pong, Billiard, Game Room, Gym, Indoor Poor, Library, Party Room, Guest Room, Rooftop Garden, Sauna, Jogging Track and BBQ Area. LOW Maintenance Includes ALL Utilities: Heat, Hydro, CAC, Water. Lots of Visitor Parking.  Property is vacant, welcome to book showings anytime.  Please contact Anzi 647 505 5591 for more info. Thank you for your interest.  ***投资物业的首选*** - 豪华Tridel公寓：2卧室，2浴室，2个并排停车位!!!! 和1个储物室。公寓直通24小时营业超市，零售店，众多餐厅，街边咖啡馆，短途步行路程到地铁站， 巴士站，公园，社区中心。公寓设有 大型娱乐设施：网球场，虚拟高尔夫，乒乓球，台球，游戏室，健身房，室内游泳池，图书馆，宴会厅，宾客室，屋顶花园，桑拿浴室，慢跑跑道和烧烤区。 低管理费(管理费包括冷暖气和水电!!!!!!) 大量访客停车场。 单位空置， 欢迎随时看房。""",https://www.realmaster.com/en/toronto-on/5-northtown-way/RM1-36880?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"5 Northtown Way, Toronto, Ontario, M2N7A1"
1328,105 Hickorynut Dr | House For Sale,C5096492,for sale,Residential House,,20210128,,,"888,000",3,2,0,,E,,,,"Located In The Heart Of Pleasant View, Sitting On A Quiet Street, Mins To Highway 404, 401, Cherokee Public School, Our Lady Of Mount Carmel, St. Gerald Catholic School, Seneca, Fairview Mall, Shawnee Park,  Don Mills Subway, Ttc, Stores, Shopping Malls, All You Can List. Spacious And Fully Functional Layout. Living Room With Large Window And Look Out To The Front Yard. Walk Out To Patio, Walk-Out Basement W Separate Entrance, Decent Potential Rental Income! Appliances, Elfs, Window Coverings. Freezer In Basement Storage.""",https://www.realmaster.com/en/toronto-on/105-hickorynut-dr/pleasant-view-TRBC5096492?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"105 Hickorynut Dr, Toronto, Ontario, M2J4W6"
1329,1 Clairtrell Rd 206 | Apartment For Sale,C5079901,for sale,Residential Apartment,2,20210109,,,"418,000",0,1,0,0-499,SE,Owned,Owned,378.88,"Immaculate &amp; Very Well Kept, Modern Owner Occupied Studio In Beautiful Sought-After Bayview Mansions. Located In The Heart Of Bayview Village With Shops And All Amenities At Your Fingertips. Ample Storage, Parking, Locker, Gym, Sauna And 24-Hour Concierge. Close To All Major Highways (401/404) , Ttc, Restaurants, Entertainment And More. Luxury Living At It's Best! ( The Unit Comes With Brand New S/S Dishwasher , Stove &amp; Microwave ) Fridge, Washer, Dryer.""",https://www.realmaster.com/en/toronto-on/1-clairtrell-rd/206-willowdale-east-TRBC5079901?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"206 1 Clairtrell Rd, Toronto, Ontario, M2N7H5"
1330,2606 Midland Ave 2 | Townhouse For Sale,E5097214,for sale,Residential Townhouse,1,20210128,,,"699,000",3,4,0,1400-1599,E,Owned,None,537.57,"Bright, Spacious, Updated 3 Bedrooms + 4 Bathrooms In A Great Family Neighbourhood** Upgrades Include Laminate Floors, Pot Lights, Wainscottings, Crown Mouldings, Ceramic Floors** Huge Eat-In Kitchen With Modern Backsplash And Stainless Steel Appliances And Breakfast Area. Dining Room Walk-Out To A Balcony** Spacious Living Room** Walk-Out Basement Has A Fireplace, 3 Pcs Bath** Excellently Located Close To Agincourt C.I. Transit, Shops And All Amenities. Newer Fridge &amp; Stove, Light Fixtures, New Pot Lights, Crown Mouldings, Blinds, Front Load Washer &amp; Dryer, Garage Door Opener &amp; Remote. (Exclude Fireplace In The Living Room)""",https://www.realmaster.com/en/toronto-on/2606-midland-ave/2-agincourt-south-malvern-west-TRBE5097214?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"2 2606 Midland Ave, Toronto, Ontario, M1S 1R5"
1331,150 Sudbury St 519 | Apartment For Sale,C4979936,for sale,Residential Apartment,5,20201105,,,"545,000",1,1,1,600-699,E,None,Owned,418.45,"Welcome To Westside Gallery Lofts In Queen West. An Open Concept Floor Plan Featuring 1 Bed Plus Den With Ensuite Bath, Lots Of Closet/Storage Space And A Den. Open Concept Floor Plan With Showing, 9 Foot Exposed Concrete Ceilings, Balcony And Functional And Living Room. Incredible Amenities-Pool, Gym &amp; More! 24Hr Streetcar Available At Doorstep. Minutes To Trinity Bellwoods Park, King Street &amp; Liberty Village Upgraded Cork Floors, Fridge, Stove, Microwave, Washer, Dryer, Walk To Cafe's, Bars/Restaurants, Drake Hotel, Grocery Store &amp; Shops In Lively Queen West Neighbourhood.""",https://www.realmaster.com/en/toronto-on/150-sudbury-st/519-niagara-TRBC4979936?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"519 150 Sudbury St, Toronto, Ontario, M6J3S8"
1332,8 Mercer St 707 | Apartment For Sale,C5001220,for sale,Residential Apartment,7,20201123,,,"598,000",1,1,1,500-599,S,None,None,307.4,"Central Location! Gorgeous Open Concept Layout! Underground Path Access Across The Street From The Building. 9 Ft Ceilings. Modern Kitchen W/Built In High-End S/S Appliances, Quartz Counters W/Under-Mounted Sink &amp; Glass Backsplash, Quality Laminate Flooring Throughout. Huge Balcony. Steps To St. Andrew Subway, Street Car, Entertainment, Financial And Fashion District, Rogers Centre And Great Restaurants. Fridge, Dishwasher, Built-In Oven, Microwave, Ceramic Cooktop, Stacked Washer &amp; Dryer - Club Mercer - Fitness Centre, Party Rm, Screening Rm, Sauna, Spa, The Terrace - Kitchen,Bbq &amp; Dining Area, Loungers, Lots Of Seating.""",https://www.realmaster.com/en/toronto-on/8-mercer-st/707-waterfront-communities-c1-TRBC5001220?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"707 8 Mercer St, Toronto, Ontario, M5V 0C4"
1333,25 Lower Simcoe St 1003 | Apartment For Sale,C5056105,for sale,Residential Apartment,9,20201203,,,"560,000",1,1,0,500-599,E,None,None,418.6,"Luxury Open Concept Upgraded One Bedroom Unit. Bright &amp; Spacious Functional Layout W/ Balcony. Laminate Flooring Thru-Out &amp; Kitchen W/Granite Counter Top. Linen Closet In The Bathroom. 24 Hr Concierge. Visitor Parking. Direct Access To Underground Path And Steps To Union Station, Up Express, Lake And Amenities. Stainless Steel Appliances (Fridge, Stove, Built-In Dishwasher, Microwave), Stacked Washer &amp; Dryer. Includes: All Existing Stainless Steel Appliances, Stacked Washer And Dryer. All Existing Light Fixtures, Please Follow Covid-19 Protocol.""",https://www.realmaster.com/en/toronto-on/25-lower-simcoe-st/1003-waterfront-communities-c1-TRBC5056105?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"1003 25 Lower Simcoe St, Toronto, Ontario, M5J3A1"
1334,736 Bay St 711 | Apartment For Sale,C5097063,for sale,Residential Apartment,7,20210128,,,"579,900",1,1,0,500-599,NE,Owned,Exclusive,668.68,"Location! Beautiful Corner One Bedroom Suite With Ne View, Floor To Ceiling Windows, Large Balcony 14'X3'8 , Steps To Subway, U Of T Campus, U Of Ryerson Campus, Five Major Hospitals, Financial/Entertainment District, Restaurants, Shops, Eaton Centre  **Rarely Found A One Bedroom Corner Unit With A Parking Spot In The Heart Of Downtown. Well Maintained Building With A Reasonable Maintenance Fee Including All Utilities, Parking &amp; Locker. Fridge, Stove, Exhaust Hood In Kitchen, B/I Dishwasher, Washer, Dryer, Window Blinds, All Electrical Lightings, One Parking Spot &amp; One Locker.""",https://www.realmaster.com/en/toronto-on/736-bay-st/711-bay-street-corridor-TRBC5097063?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"711 736 Bay St, Toronto, Ontario, M5G2J8"
1335,10 Northtown Way 2505 | Apartment For Sale,C5067013,for sale,Residential Apartment,25,20201217,,,"735,900",2,2,0,900-999,SW,OwnedB68,Owned,650.74,"Welcome To Tridel Luxury Condo Grand Triomphe. This Is A Gorgeous Corner Unit. 926 Sqft Plus Balcony Of South West View. Open Concept Kitchen &amp; Granite Countertops. Two Full Bathroom. 24 Hour Concierge, Guest Suites, Virtual Golf, Swimming Pool. Steps To Finch Subway/North York Centre/Restaurants/Library/Shops. Fridge, Stove, B/I Microwave, B/I Dishwasher, Washer, Dryer, Granite Counter, All Elf's.One Parking, One Locker""",https://www.realmaster.com/en/toronto-on/10-northtown-way/2505-willowdale-east-TRBC5067013?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"2505 10 Northtown Way, Toronto, Ontario, M2N7L4"
1336,177 Front St E 1202 Se | Apartment For Sale,C4973157,for sale,Residential Apartment,12,20201029,,,"599,000",1,2,1,500-599,W,None,None,356.03,"Brand New Condo By Pemberton! Occupancy Estimated End Of 2022. Prime Location On Front St E &amp; Sherbourne - Steps To Financial District, Union Station, St Lawrence Mkt &amp; Waterfront! Functional 1 + Den, 2 Bath And Balcony! Excess Of Amenities Including Infinityedge Pool, Rooftop Cabanas, Outdoor Bbq Area, Basketball Court, Games Room, Gym, Yoga Studio, Party Room And More! This East Core Development Is Not To Be Missed! 9' High Smooth Ceilings, 7 1/2 Wide Premium Laminate Flooring, Stacked Washer/Dryer 27, S/S Appliances, Quartz Window Sills.""",https://www.realmaster.com/en/toronto-on/177-front-st-e/1202-se-waterfront-communities-c8-TRBC4973157?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"1202 Se 177 Front St E, Toronto, Ontario, M5A 1E7"
1337,234 Albion Rd 109 | Apartment For Sale,W4998748,for sale,Residential Apartment,1,20201124,,,"299,000",1,1,0,800-899,NW,Exclusive220,None,647.77,"Welcome To 234 Albion Rd!!! Bright And Spacious 1 Bedroom Ground Floor Unit By The Humber River. Newly Renovated And Move-In Ready, This Home Features A Large Master Bedroom, Modern Kitchen &amp; Bathroom, Newly Installed Floors, And More. Easy Access To Hwy 401, Transit, Parks, Schools, Shopping. Great For 1st Time Buyers, Retirees, Young Professionals. Dont Miss This Great Opportunity All Elf's, Fridge, Stove, Hood Fan, Window Coverings And Blinds.""",https://www.realmaster.com/en/toronto-on/234-albion-rd/109-elms-old-rexdale-TRBW4998748?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"109 234 Albion Rd, Toronto, Ontario, M9W6A5"
1338,700 Humberwood Blvd 831 | Apartment For Sale,W5080726,for sale,Residential Apartment,8,20210111,,,"465,000",1,1,0,600-699,E,Owned173,Owned,349.36,"Welcome To This Luxurious Fully Renovated Condo At The Mansions Of Humberwood By Tridel. This Unit Was Just Renovated With Top Of The Line Finishes Done By A Designer Leaving Nothing Out. This Unit Offers An Open Concept Layout, Spacious Bedroom With Large W/I Closet. Enjoy The Breathtaking Unobstructed Views Of The Conservation Area And Humber River From The Large Balcony. Close To 427, 407, 401, Hospital, Yyz Airport, Humber College, Woodbine Casino &amp; Mall. Building Features 5-Star Amenities Including Indoor Pool, Whirlpool, Sauna, Gym, Tennis Courts, Guest Suites, Grand Party Rooms. Chattels Stainless Steel Fridge, Stove, B/I Dishwasher, Hood Fan, Washer/Dryer, All Elfs, All Window Coverings""",https://www.realmaster.com/en/toronto-on/700-humberwood-blvd/831-west-humber-clairville-TRBW5080726?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"831 700 Humberwood Blvd, Toronto, Ontario, M9W7J4"
1339,180 University Ave 2702 | Apartment For Sale,C5057396,for sale,Residential Apartment,11,20201204,,,"1,099,900",1,1,0,800-899,SW,Owned61,Owned,902.04,"Luxury 5 Star Hotel Living, Open Concept, Sun-Filled South West Unit With Huge Windows. Unobstructed Views With Cn Towner, 9 Ft Ceilings, Flawless Layout And High End Finishes Throughout. Granite Countertop, Subzero &amp; Miele Appliances, Spa Like Shower, Pocket Door Partition Creating A Powder Room For Guests! One Locker &amp; One Parking Included. Valet Services &amp; 24Hr Concierge, Walking Distance To All Amenities &amp; Underground Path... Fridge, Cooktop, Range Hood, Oven, Microwave, Dishwasher, Washer, Dryer, All Existing Light Fixtures, All Existing Window Coverings.""",https://www.realmaster.com/en/toronto-on/180-university-ave/2702-bay-street-corridor-TRBC5057396?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"2702 180 University Ave, Toronto, Ontario, M5H0A2"
1340,2015 Sheppard Ave E 2806 | Apartment For Sale,C5098662,for sale,Residential Apartment,27,20210130,,,"514,900",1,1,0,500-599,N,OwnedD41,Owned,407.78,"High Floor With Large Balcony. Spacious 1 Bedroom Unit With Parking &amp; Locker. Functional Layout (557 Sf + Balcony 105 Sf * Unobstructed North View). All Laminate Flooring Thru Out, Stainless Steel Appliances, Granite Counter Top, Walkouts From Living &amp; Master Bedroom. Million Dollars Facilities Includes Fitness Rm, Theater Rm, Billiards Rm, Party Rm, Guest Suite, 24 Hrs Concierge, Shuttle Bus Service To Fairview Subway Station. Fridge, Stove, B/I Dishwasher &amp; Microwave (Stainless Steel), Stacked Washer &amp; Dryer. ***Must Read Attached Covid Disclosure Prior Showing.""",https://www.realmaster.com/en/toronto-on/2015-sheppard-ave-e/2806-henry-farm-TRBC5098662?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"2806 2015 Sheppard Ave E, Toronto, Ontario, M2J1W6"
1341,100 Harrison Garden Blvd 303 | Apartment For Sale,C5083827,for sale,Residential Apartment,3,20210113,,,"549,000",1,1,1,600-699,W,Owned144,Owned,400,"One Of Tridel's Luxury Signature Projects In The Heart Of North York At Sheppard &amp; Yonge.Easy Accessible To Hwy 401 &amp; 404.Shuttle Bus To &amp; From Sheppard Subway. Mins To Whole Food, Longo's, Restaurants &amp; Lcbo. One Of A Kind Spacious 1+1 Unit W/9Ft Ceiling. Newer Built Kitchen Cabinets Up To The Ceiling. Custom Made Kitchen Island.Brand New Laminate Flooring, Redone In March 2020. Easy Access For Dog Lovers.Large Locker Situated On The Same Level As The Unit. Glass Sliding Door To The W/I Closet, Brand New Laminate Flooring. S.S. Appliances: Fridge, Stove, B/I Microwave Rangehood, Dishwasher. And Stackable Washer/Dryer. Remote Control Window Blinds.""",https://www.realmaster.com/en/toronto-on/100-harrison-garden-blvd/303-willowdale-east-TRBC5083827?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"303 100 Harrison Garden Blvd, Toronto, Ontario, M2N0C2"
1342,15 Iceboat Ter 1801 | Apartment For Sale,C5094192,for sale,Residential Apartment,15,20210126,,,"499,900",1,1,0,500-599,N,Owned,Owned,410.03,"Bright &amp; Spacious Open Concept 1 Bedroom In The Iconic Parade In City Place.  Floor To Ceiling Windows With Stunning Clear Views Of The City. Tons Of Storage W/Built-In Pantry , Rare Large Ensuite Storage + Additional Storage Locker.  Unbeatable Location Just Steps To Restaurants, Groceries, Transit, Libarby, Waterfront, Rogers Centre, Parks &amp; Schools + Easy Access To Hwy. Become Part Of This Dynamic &amp; Exciting Community! Fridge, Stove, Dishwasher, B/I Microwave. Washer/Dryer. All Elf's, All Window Coverings. 1 Parking &amp; 1 Locker.Extensive Amenities: Gym, Hot Yoga Rm, Aerobics &amp; Dance Studio, 25M Lap Pool,Steam Rm, Hot Tub, Spa,Squash Crt + More!""",https://www.realmaster.com/en/toronto-on/15-iceboat-ter/1801-waterfront-communities-c1-TRBC5094192?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"1801 15 Iceboat Ter, Toronto, Ontario, M5V4A5"
1343,18 Concorde Pl 622 | Apartment For Sale,C5089700,for sale,Residential Apartment,6,20210120,,,"489,000",1,1,0,600-699,SE,Owned,Owned,729.3,"Move In Ready 1 Bedroom Unit Featuring A Large Balcony With Bbq Line And A Spectacular View Overlooking The Valley, Gardens, Fish Pond And Much More! Good Size Master B/R And Closet. Spacious Kitchen With Pass Through. Large Laundry Room W/ Full Size Washer And Dryer. Concierge/Security. List Of Amenities Is Endless. Close To Transit, The Dvp, Trails, Shops At Don Mills, Downtown. Existing Fridge, Stove, Washer And Dryer, Closet Shelving Unit In Laundry Room, Window Coverings, Light Fixtures.""",https://www.realmaster.com/en/toronto-on/18-concorde-pl/622-banbury-don-mills-TRBC5089700?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=12,"622 18 Concorde Pl, Toronto, Ontario, M3C3T9"
